gid_1,name_1,hasc_1,year,pm25_mean,pm25_std,pm25_min,pm25_max,n_pixels
VNM.1_1,AnGiang,VN.AG,2020,20.34919108800275,1.0069286565613134,18.100000381469727,23.0,2909
VNM.7_1,BàRịa-VũngTàu,VN.BV,2020,16.836607641103317,1.683431170114308,13.399999618530273,23.600000381469727,1568
VNM.3_1,BắcGiang,VN.BG,2020,26.772918971238937,3.5647915267449664,21.600000381469727,35.900001525878906,3390
VNM.4_1,BắcKạn,VN.BK,2020,25.56799531066823,1.1748558932699955,23.0,28.899999618530273,4265
VNM.2_1,BạcLiêu,VN.BL,2020,18.47966677922397,0.6996554683773306,15.399999618530273,20.5,2036
VNM.5_1,BắcNinh,VN.BN,2020,35.168160501402525,1.1297999331523563,32.099998474121094,37.20000076293945,713
VNM.6_1,BếnTre,VN.BR,2020,19.192579757706373,0.9882577593912943,15.0,22.100000381469727,1914
VNM.8_1,BìnhĐịnh,VN.BD,2020,15.065816918443918,1.2822223702442168,11.0,18.600000381469727,5064
VNM.9_1,BìnhDương,VN.BI,2020,21.868432869330938,2.7663487905567488,18.299999237060547,30.700000762939453,2227
VNM.10_1,BìnhPhước,VN.BP,2020,19.786576079785362,1.0588411516110854,16.600000381469727,23.100000381469727,5684
VNM.11_1,BìnhThuận,VN.BU,2020,16.34327633528339,1.7262260525129882,9.699999809265137,22.0,6581
VNM.13_1,CàMau,VN.CM,2020,18.306980757931846,1.0216369727460013,13.699999809265137,21.100000381469727,4255
VNM.12_1,CầnThơ,VN.CN,2020,21.128689964345636,0.7516306394817136,17.5,22.600000381469727,1192
VNM.14_1,CaoBằng,VN.CB,2020,25.481584916059013,1.7559047983006872,22.700000762939453,31.0,5897
VNM.19_1,ĐàNẵng,VN.DA,2020,15.913780249618902,1.5107235598780493,11.399999618530273,19.399999618530273,820
VNM.15_1,ĐắkLắk,VN.DC,2020,19.180436900479616,1.1949488099009804,15.0,24.299999237060547,10842
VNM.16_1,ĐắkNông,VN.DO,2020,19.632203752544882,1.0058901563812104,17.5,22.799999237060547,5403
VNM.20_1,ĐiệnBiên,VN.DB,2020,31.661273533671253,1.3625106099157933,28.399999618530273,37.20000076293945,8286
VNM.17_1,ĐồngNai,VN.DN,2020,20.24465634241656,2.9328378351129056,15.800000190734863,29.700000762939453,4734
VNM.18_1,ĐồngTháp,VN.DT,2020,20.561169437970598,1.0758645855576994,18.200000762939453,22.899999618530273,2789
VNM.21_1,GiaLai,VN.GL,2020,18.5250484552187,1.3238441012950664,15.199999809265137,26.399999618530273,12963
VNM.26_1,HàGiang,VN.HG,2020,30.12488339552239,2.1488704418680236,24.700000762939453,35.900001525878906,6968
VNM.28_1,HàNam,VN.HM,2020,33.76417901131824,2.1368576029569764,30.200000762939453,40.5,751
VNM.27_1,HàNội,VN.HI,2020,38.02269971239698,1.7266127302827505,32.599998474121094,43.70000076293945,2912
VNM.29_1,HàTĩnh,VN.HT,2020,21.35111607142857,2.8499661306148827,14.5,27.299999237060547,5110
VNM.22_1,HảiDương,VN.HD,2020,30.708603965932554,1.8803732539068012,25.399999618530273,35.70000076293945,1453
VNM.23_1,HảiPhòng,VN.HP,2020,25.72351509443973,2.9228533849946596,15.300000190734863,29.100000381469727,1178
VNM.24_1,HậuGiang,VN.HU,2020,19.335269286925396,0.5313740075733877,17.399999618530273,20.600000381469727,1327
VNM.25_1,HồChíMinh,VN.HC,2020,25.364072099912228,3.3293764821464613,17.100000381469727,30.899999618530273,1709
VNM.30_1,HoàBình,VN.HO,2020,30.50997072525812,1.9258964440406878,26.0,39.400001525878906,3971
VNM.31_1,HưngYên,VN.HY,2020,34.36521739130435,1.6138399770215295,30.200000762939453,37.20000076293945,805
VNM.32_1,KhánhHòa,VN.KH,2020,16.21827917916979,1.5663993151108382,8.800000190734863,20.100000381469727,3999
VNM.33_1,KiênGiang,VN.KG,2020,18.93952423024787,1.536419702388979,12.0,21.0,5164
VNM.34_1,KonTum,VN.KT,2020,19.366118299160078,1.4996654908095066,15.199999809265137,26.299999237060547,8096
VNM.36_1,LaiChâu,VN.LI,2020,32.34393287503146,1.8893335467825298,25.5,37.79999923706055,7946
VNM.37_1,LâmĐồng,VN.LD,2020,18.713573100135484,0.8486924534354368,15.199999809265137,21.899999618530273,8119
VNM.35_1,LạngSơn,VN.LS,2020,24.299227266455084,1.034796541371511,21.100000381469727,27.600000381469727,7247
VNM.38_1,LàoCai,VN.LO,2020,32.41690404629463,3.388578893961488,26.0,40.5,5573
VNM.39_1,LongAn,VN.LA,2020,22.095520777118185,1.9830981384247157,18.299999237060547,27.600000381469727,3706
VNM.40_1,NamĐịnh,VN.ND,2020,27.017997664187227,2.799695925727919,19.700000762939453,33.0,1378
VNM.41_1,NghệAn,VN.NA,2020,27.531190337293168,2.0174740801156013,21.0,33.099998474121094,14142
VNM.42_1,NinhBình,VN.NB,2020,30.063958513396717,2.463259350617914,25.600000381469727,36.0,1157
VNM.43_1,NinhThuận,VN.NT,2020,16.014606829573935,1.736691913711726,11.5,20.5,2793
VNM.44_1,PhúThọ,VN.PT,2020,35.25795971410007,2.520085680852829,29.0,39.70000076293945,3078
VNM.45_1,PhúYên,VN.PY,2020,15.003439776391211,1.7321356482761472,10.600000381469727,20.399999618530273,4187
VNM.46_1,QuảngBình,VN.QB,2020,17.78708060179729,0.8981448971879669,14.899999618530273,20.200000762939453,6788
VNM.47_1,QuảngNam,VN.QM,2020,17.296792643265672,1.332322117649648,10.399999618530273,20.799999237060547,8917
VNM.48_1,QuảngNgãi,VN.QG,2020,14.975494623733303,1.1730283846947696,9.199999809265137,17.899999618530273,4342
VNM.49_1,QuảngNinh,VN.QN,2020,22.199372792819304,1.8767349860440468,13.5,29.200000762939453,5097
VNM.50_1,QuảngTrị,VN.QT,2020,19.02691993986694,1.1420845994380606,13.899999618530273,22.100000381469727,3908
VNM.51_1,SócTrăng,VN.ST,2020,18.297188598316684,0.8386824923028048,15.699999809265137,20.899999618530273,2703
VNM.52_1,SơnLa,VN.SL,2020,30.001237775061124,2.0507549299936216,25.100000381469727,37.599998474121094,12270
VNM.53_1,TâyNinh,VN.TN,2020,19.38141188063063,1.6033447868061406,14.899999618530273,24.100000381469727,3330
VNM.55_1,TháiBình,VN.TB,2020,26.84809215262779,2.4285450572127574,19.700000762939453,32.0,1389
VNM.56_1,TháiNguyên,VN.TY,2020,29.01995457495133,2.356444398896545,23.899999618530273,34.599998474121094,3082
VNM.57_1,ThanhHóa,VN.TH,2020,28.137790758318555,2.5786588399448926,19.399999618530273,35.0,9587
VNM.54_1,ThừaThiênHuế,VN.TT,2020,16.309856489808155,1.3819116554864659,11.800000190734863,20.600000381469727,4170
VNM.58_1,TiềnGiang,VN.TG,2020,20.9513654101365,0.8875447819842175,17.5,23.399999618530273,1978
VNM.59_1,TràVinh,VN.TV,2020,17.67483821754292,0.6125257172631154,14.399999618530273,20.200000762939453,1864
VNM.60_1,TuyênQuang,VN.TQ,2020,28.91622781353618,2.2818287822137524,24.399999618530273,35.099998474121094,5127
VNM.61_1,VĩnhLong,VN.VL,2020,19.98621451693227,1.0302405736679459,16.700000762939453,22.5,1255
VNM.62_1,VĩnhPhúc,VN.VC,2020,36.67733936095506,2.8025890628922125,30.0,41.599998474121094,1068
VNM.63_1,YênBái,VN.YB,2020,31.315033924408926,2.803709039297377,25.600000381469727,37.099998474121094,6006
VNM.1_1,AnGiang,VN.AG,2021,18.919284709092473,1.0938573554084998,16.600000381469727,22.100000381469727,2909
VNM.7_1,BàRịa-VũngTàu,VN.BV,2021,17.184630102040817,1.6381764720648342,13.899999618530273,23.899999618530273,1568
VNM.3_1,BắcGiang,VN.BG,2021,25.970353982300885,3.512808864349786,20.5,34.599998474121094,3390
VNM.4_1,BắcKạn,VN.BK,2021,25.5052754982415,0.8385063537526687,23.700000762939453,28.399999618530273,4265
VNM.2_1,BạcLiêu,VN.BL,2021,18.54307427247053,0.7152466526595899,15.100000381469727,20.600000381469727,2036
VNM.5_1,BắcNinh,VN.BN,2021,33.826927923387096,0.9896541080175106,30.899999618530273,35.70000076293945,713
VNM.6_1,BếnTre,VN.BR,2021,19.379363407784744,0.9127893351056139,15.5,23.200000762939453,1914
VNM.8_1,BìnhĐịnh,VN.BD,2021,15.569747852488153,1.3083011545594132,11.5,19.399999618530273,5064
VNM.9_1,BìnhDương,VN.BI,2021,22.35347966715312,3.03785875491121,18.5,32.0,2227
VNM.10_1,BìnhPhước,VN.BP,2021,20.34338439039409,1.0098025265787667,17.399999618530273,24.200000762939453,5684
VNM.11_1,BìnhThuận,VN.BU,2021,17.12528609823735,1.8424444401699092,9.800000190734863,23.100000381469727,6581
VNM.13_1,CàMau,VN.CM,2021,18.169847972972974,1.081794795514143,13.800000190734863,21.200000762939453,4255
VNM.12_1,CầnThơ,VN.CN,2021,20.214932230494966,0.8004372613383665,16.899999618530273,22.0,1192
VNM.14_1,CaoBằng,VN.CB,2021,26.05145094963541,1.5088046293839183,23.600000381469727,30.399999618530273,5897
VNM.19_1,ĐàNẵng,VN.DA,2021,16.523416063262196,1.5462110936061464,11.899999618530273,19.600000381469727,820
VNM.15_1,ĐắkLắk,VN.DC,2021,20.276969770337576,1.539807487562897,15.5,26.100000381469727,10842
VNM.16_1,ĐắkNông,VN.DO,2021,20.69890859244864,1.2947968672091943,18.0,24.899999618530273,5403
VNM.20_1,ĐiệnBiên,VN.DB,2021,29.39622178976587,1.6254927958766352,24.799999237060547,34.70000076293945,8286
VNM.17_1,ĐồngNai,VN.DN,2021,20.957013096746937,2.933604893895677,16.0,31.0,4734
VNM.18_1,ĐồngTháp,VN.DT,2021,19.531876064449623,1.255104490753143,16.799999237060547,22.299999237060547,2789
VNM.21_1,GiaLai,VN.GL,2021,18.615319804443416,1.2828396184500448,15.100000381469727,26.299999237060547,12963
VNM.26_1,HàGiang,VN.HG,2021,28.971467781285877,1.7031387042003765,25.0,34.20000076293945,6968
VNM.28_1,HàNam,VN.HM,2021,33.256192264480696,1.9875072131158076,29.799999237060547,39.29999923706055,751
VNM.27_1,HàNội,VN.HI,2021,36.24509035885989,1.680010328536201,31.299999237060547,42.099998474121094,2912
VNM.29_1,HàTĩnh,VN.HT,2021,22.91320939334638,3.2506075930846934,15.300000190734863,30.100000381469727,5110
VNM.22_1,HảiDương,VN.HD,2021,30.065174961286992,1.7395797016227332,24.899999618530273,34.20000076293945,1453
VNM.23_1,HảiPhòng,VN.HP,2021,25.284635637733448,3.0530638244851414,15.0,29.100000381469727,1178
VNM.24_1,HậuGiang,VN.HU,2021,18.83466436275433,0.38921540261260695,17.0,19.799999237060547,1327
VNM.25_1,HồChíMinh,VN.HC,2021,25.665945911351667,3.6301302328678133,16.799999237060547,32.29999923706055,1709
VNM.30_1,HoàBình,VN.HO,2021,29.211635922941326,1.6463402424758067,24.899999618530273,37.0,3971
VNM.31_1,HưngYên,VN.HY,2021,33.476273777173915,1.3228319039810867,30.0,36.29999923706055,805
VNM.32_1,KhánhHòa,VN.KH,2021,16.707926981745437,1.5590036247358559,9.5,21.200000762939453,3999
VNM.33_1,KiênGiang,VN.KG,2021,18.147054729860574,1.3881291906582693,12.300000190734863,20.700000762939453,5164
VNM.34_1,KonTum,VN.KT,2021,19.69725790513834,1.3764885589831652,15.300000190734863,26.200000762939453,8096
VNM.36_1,LaiChâu,VN.LI,2021,31.71575517556003,2.0356478001163962,25.200000762939453,38.0,7946
VNM.37_1,LâmĐồng,VN.LD,2021,19.75505565648479,0.9733769683153678,15.600000381469727,23.200000762939453,8119
VNM.35_1,LạngSơn,VN.LS,2021,23.725472609355595,1.1314243725802868,20.100000381469727,26.899999618530273,7247
VNM.38_1,LàoCai,VN.LO,2021,30.98679458998744,3.3686245073578864,24.200000762939453,39.599998474121094,5573
VNM.39_1,LongAn,VN.LA,2021,21.409416318132756,2.4307972502031374,17.200000762939453,28.100000381469727,3706
VNM.40_1,NamĐịnh,VN.ND,2021,27.012189314223512,2.775388802235176,19.399999618530273,32.29999923706055,1378
VNM.41_1,NghệAn,VN.NA,2021,28.020985804695233,2.3930846422257153,21.399999618530273,34.20000076293945,14142
VNM.42_1,NinhBình,VN.NB,2021,29.393690579083838,2.161992720412094,24.899999618530273,35.0,1157
VNM.43_1,NinhThuận,VN.NT,2021,16.64597179332259,1.7733978256109628,12.0,22.399999618530273,2793
VNM.44_1,PhúThọ,VN.PT,2021,34.48658321150098,2.3010136903872334,29.100000381469727,38.70000076293945,3078
VNM.45_1,PhúYên,VN.PY,2021,15.592381366431812,1.7879801243418316,11.5,21.600000381469727,4187
VNM.46_1,QuảngBình,VN.QB,2021,19.230053264952858,1.1222300506452192,15.800000190734863,22.100000381469727,6788
VNM.47_1,QuảngNam,VN.QM,2021,18.63565030279242,1.7864151757776614,10.100000381469727,22.799999237060547,8917
VNM.48_1,QuảngNgãi,VN.QG,2021,15.512688565177339,1.3406542879031733,9.399999618530273,19.0,4342
VNM.49_1,QuảngNinh,VN.QN,2021,21.173456812831077,1.8798153546295786,13.100000381469727,28.5,5097
VNM.50_1,QuảngTrị,VN.QT,2021,19.91135971084954,1.0982231351002882,14.899999618530273,22.700000762939453,3908
VNM.51_1,SócTrăng,VN.ST,2021,18.152090848131706,0.8835458265204938,15.5,21.299999237060547,2703
VNM.52_1,SơnLa,VN.SL,2021,28.943283924205378,2.0362593627295116,24.600000381469727,36.20000076293945,12270
VNM.53_1,TâyNinh,VN.TN,2021,18.381350882132132,1.797329657549043,14.5,23.799999237060547,3330
VNM.55_1,TháiBình,VN.TB,2021,26.95997007739381,2.465939962595699,19.399999618530273,31.799999237060547,1389
VNM.56_1,TháiNguyên,VN.TY,2021,28.43244544938352,2.120783028976858,23.700000762939453,32.70000076293945,3082
VNM.57_1,ThanhHóa,VN.TH,2021,28.030125430270157,2.51628222409253,20.399999618530273,35.099998474121094,9587
VNM.54_1,ThừaThiênHuế,VN.TT,2021,17.369735461630697,1.470956286722178,12.0,22.299999237060547,4170
VNM.58_1,TiềnGiang,VN.TG,2021,20.67639147813448,0.9088285780210773,17.600000381469727,23.899999618530273,1978
VNM.59_1,TràVinh,VN.TV,2021,17.67521543052575,0.6610138459852639,14.600000381469727,20.200000762939453,1864
VNM.60_1,TuyênQuang,VN.TQ,2021,28.38123537156232,1.9226354709045275,24.5,34.29999923706055,5127
VNM.61_1,VĩnhLong,VN.VL,2021,19.589482694223108,0.91414781916968,16.399999618530273,22.0,1255
VNM.62_1,VĩnhPhúc,VN.VC,2021,35.34850114115169,2.447330540366844,30.0,39.400001525878906,1068
VNM.63_1,YênBái,VN.YB,2021,30.451616092241093,2.8289539033863615,23.700000762939453,35.5,6006
VNM.1_1,AnGiang,VN.AG,2022,20.235374054657957,1.2543345761716578,17.399999618530273,23.200000762939453,2909
VNM.7_1,BàRịa-VũngTàu,VN.BV,2022,19.054973991549744,1.8324389402260017,15.100000381469727,26.0,1568
VNM.3_1,BắcGiang,VN.BG,2022,24.189852968289085,3.761154141866564,18.600000381469727,33.099998474121094,3390
VNM.4_1,BắcKạn,VN.BK,2022,22.540093786635403,1.2999183041148774,19.799999237060547,26.399999618530273,4265
VNM.2_1,BạcLiêu,VN.BL,2022,19.83055009823183,0.7261600067109978,16.700000762939453,22.299999237060547,2036
VNM.5_1,BắcNinh,VN.BN,2022,33.01416495003506,1.1267914903746235,30.0,34.900001525878906,713
VNM.6_1,BếnTre,VN.BR,2022,21.24623661180773,1.0169508828069567,17.100000381469727,25.200000762939453,1914
VNM.8_1,BìnhĐịnh,VN.BD,2022,16.402430144154817,1.437410628691751,11.899999618530273,20.299999237060547,5064
VNM.9_1,BìnhDương,VN.BI,2022,24.05244583520431,2.9271068047367153,20.100000381469727,33.400001525878906,2227
VNM.10_1,BìnhPhước,VN.BP,2022,21.10311427911682,1.1165802215590728,17.700000762939453,24.799999237060547,5684
VNM.11_1,BìnhThuận,VN.BU,2022,18.482860222610544,1.9170428789908627,11.300000190734863,24.799999237060547,6581
VNM.13_1,CàMau,VN.CM,2022,18.975323149236193,1.1290886118343746,14.100000381469727,21.899999618530273,4255
VNM.12_1,CầnThơ,VN.CN,2022,21.44119160287332,0.7345086120506855,18.600000381469727,23.0,1192
VNM.14_1,CaoBằng,VN.CB,2022,22.129793221129386,1.9246433661294329,19.299999237060547,27.5,5897
VNM.19_1,ĐàNẵng,VN.DA,2022,17.383048304115853,1.8751892201817286,12.0,21.100000381469727,820
VNM.15_1,ĐắkLắk,VN.DC,2022,20.66259972790998,1.5597360754467735,15.899999618530273,26.899999618530273,10842
VNM.16_1,ĐắkNông,VN.DO,2022,20.911179263834907,1.273953877865754,18.399999618530273,25.299999237060547,5403
VNM.20_1,ĐiệnBiên,VN.DB,2022,25.606058034636735,1.601344932831108,20.299999237060547,32.5,8286
VNM.17_1,ĐồngNai,VN.DN,2022,22.405343987642585,3.1346609674314743,17.399999618530273,32.5,4734
VNM.18_1,ĐồngTháp,VN.DT,2022,21.046575273395483,0.9771758459817669,18.899999618530273,23.200000762939453,2789
VNM.21_1,GiaLai,VN.GL,2022,18.710266720666514,1.3199576942075397,15.699999809265137,25.399999618530273,12963
VNM.26_1,HàGiang,VN.HG,2022,25.853831802525832,1.8915584473124913,21.200000762939453,31.0,6968
VNM.28_1,HàNam,VN.HM,2022,32.899602613182424,2.2327038671769923,29.100000381469727,40.20000076293945,751
VNM.27_1,HàNội,VN.HI,2022,36.47627275068681,2.190804824847087,29.399999618530273,42.599998474121094,2912
VNM.29_1,HàTĩnh,VN.HT,2022,21.62119312622309,2.9532261892983582,14.899999618530273,28.200000762939453,5110
VNM.22_1,HảiDương,VN.HD,2022,29.344733955609083,1.9869831257073352,23.100000381469727,33.79999923706055,1453
VNM.23_1,HảiPhòng,VN.HP,2022,24.5006781223472,3.1326826589025556,14.399999618530273,28.5,1178
VNM.24_1,HậuGiang,VN.HU,2022,20.569781167577244,0.4245111026246877,18.600000381469727,21.700000762939453,1327
VNM.25_1,HồChíMinh,VN.HC,2022,27.607957870099472,3.4794180108980104,19.200000762939453,33.70000076293945,1709
VNM.30_1,HoàBình,VN.HO,2022,28.460892250062958,2.132945749510778,23.799999237060547,38.20000076293945,3971
VNM.31_1,HưngYên,VN.HY,2022,33.19565217391305,1.2884170338002352,29.899999618530273,36.20000076293945,805
VNM.32_1,KhánhHòa,VN.KH,2022,18.184245280070016,1.7266143625270252,10.300000190734863,22.700000762939453,3999
VNM.33_1,KiênGiang,VN.KG,2022,18.815646785437647,1.9614465481008592,11.699999809265137,21.799999237060547,5164
VNM.34_1,KonTum,VN.KT,2022,19.26655138339921,1.2651913764923868,14.899999618530273,25.200000762939453,8096
VNM.36_1,LaiChâu,VN.LI,2022,25.261175040901083,2.380070607049102,18.200000762939453,33.20000076293945,7946
VNM.37_1,LâmĐồng,VN.LD,2022,20.801464927946792,1.1151937769424842,16.5,24.700000762939453,8119
VNM.35_1,LạngSơn,VN.LS,2022,20.845867255416035,1.1769082266725417,17.899999618530273,24.799999237060547,7247
VNM.38_1,LàoCai,VN.LO,2022,26.58914352682577,3.090799847749956,19.600000381469727,32.400001525878906,5573
VNM.39_1,LongAn,VN.LA,2022,23.483432693604964,2.4085274550139575,19.299999237060547,29.799999237060547,3706
VNM.40_1,NamĐịnh,VN.ND,2022,26.142887109941945,2.770597117394047,18.899999618530273,31.799999237060547,1378
VNM.41_1,NghệAn,VN.NA,2022,27.185184203083015,2.3486514524450337,20.200000762939453,33.099998474121094,14142
VNM.42_1,NinhBình,VN.NB,2022,28.938114466292134,2.411788479275343,24.700000762939453,34.5,1157
VNM.43_1,NinhThuận,VN.NT,2022,18.349766715896884,1.8818029647542172,13.300000190734863,24.0,2793
VNM.44_1,PhúThọ,VN.PT,2022,32.38830510883691,2.783702406437076,25.600000381469727,37.5,3078
VNM.45_1,PhúYên,VN.PY,2022,16.620562903033196,1.8232699166955653,12.100000381469727,22.899999618530273,4187
VNM.46_1,QuảngBình,VN.QB,2022,18.917605056717736,1.4819243880875737,15.300000190734863,22.700000762939453,6788
VNM.47_1,QuảngNam,VN.QM,2022,18.8378606173601,1.8962018056692158,10.600000381469727,23.700000762939453,8917
VNM.48_1,QuảngNgãi,VN.QG,2022,15.86667470347766,1.339887639364097,9.5,19.299999237060547,4342
VNM.49_1,QuảngNinh,VN.QN,2022,19.729684741024133,1.918362200718484,12.199999809265137,27.399999618530273,5097
VNM.50_1,QuảngTrị,VN.QT,2022,20.093628054631527,1.288109085512922,15.800000190734863,23.399999618530273,3908
VNM.51_1,SócTrăng,VN.ST,2022,19.96059933407325,0.8934740451168032,17.200000762939453,22.700000762939453,2703
VNM.52_1,SơnLa,VN.SL,2022,26.733180521597394,2.1609534687224135,21.399999618530273,34.900001525878906,12270
VNM.53_1,TâyNinh,VN.TN,2022,20.62771677927928,1.986207068469477,16.799999237060547,26.100000381469727,3330
VNM.55_1,TháiBình,VN.TB,2022,26.465369645428364,2.535013863728753,19.0,31.399999618530273,1389
VNM.56_1,TháiNguyên,VN.TY,2022,26.23514053374432,2.5308110571911344,20.899999618530273,32.70000076293945,3082
VNM.57_1,ThanhHóa,VN.TH,2022,27.30192904453948,3.2345273037517708,19.299999237060547,35.900001525878906,9587
VNM.54_1,ThừaThiênHuế,VN.TT,2022,17.730382568944844,1.7399027145931827,12.0,22.600000381469727,4170
VNM.58_1,TiềnGiang,VN.TG,2022,22.550556117290192,1.0607541517873142,19.299999237060547,26.0,1978
VNM.59_1,TràVinh,VN.TV,2022,19.398766513546136,0.661051274627935,16.100000381469727,21.899999618530273,1864
VNM.60_1,TuyênQuang,VN.TQ,2022,25.8034547493661,2.3511878747020307,21.299999237060547,32.29999923706055,5127
VNM.61_1,VĩnhLong,VN.VL,2022,21.15856573705179,0.823066550110144,18.100000381469727,23.0,1255
VNM.62_1,VĩnhPhúc,VN.VC,2022,34.25917676147004,2.8452437918574915,27.299999237060547,39.0,1068
VNM.63_1,YênBái,VN.YB,2022,28.172327672327672,2.7483582932630495,21.700000762939453,33.900001525878906,6006
